Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
day0_1f77d1c5		As we round the bend on the street I finally get a proper view at our destination: The Magical Institute of Qyburn	game/events/plot/prologue/day0.rpy	57	"[what]"
day0_d4d03dfd		Home to the most advanced magical research in the world.	game/events/plot/prologue/day0.rpy	60	"[what]"
day0_e60d7c84		No one could see that castle bearing down on them and hang onto any shread of misplaced confidence. Visitors were at the mercy of the powers that reside here.	game/events/plot/prologue/day0.rpy	62	"[what]"
day0_welcome_7da51e70		We finally make it to the entrance where the driver drops me off along with the lone bag that comprises all my wordly posessions.	game/events/plot/prologue/day0.rpy	73	"[what]"
day0_welcome_466d54d8		I can hardly take a step inside the grand doors before I'm ambushed by an administrator.	game/events/plot/prologue/day0.rpy	76	"[what]"
day0_welcome_98a36ab1	"Administrator"	Welcome to the institute! We hope your journey was a pleasant one?	game/events/plot/prologue/day0.rpy	78	"Administrator" "[what]"
day0_welcome_b463f8af	mc.says	Oh, it —	game/events/plot/prologue/day0.rpy	80	mc.says "[what]"
day0_welcome_c49f82d3	"Administrator"	May I see your invitation?	game/events/plot/prologue/day0.rpy	82	"Administrator" "[what]"
day0_welcome_d8a49a08		They deftly swipe the invitation from my hands just as I'm producing it from my pocket.	game/events/plot/prologue/day0.rpy	84	"[what]"
day0_welcome_237d5e77	"Administrator"	Oh, very interesting. Yes, we've certainly been expecting you.	game/events/plot/prologue/day0.rpy	86	"Administrator" "[what]"
day0_welcome_085b6d06	"Administrator"	Well I'd love to give you a tour of the grounds you'll be calling home, but it's dreadfully late already and you must be exhausted.	game/events/plot/prologue/day0.rpy	86	"Administrator" "[what]"
day0_welcome_f8ef880f	"Administrator"	Let me lead you to where you'll be staying.	game/events/plot/prologue/day0.rpy	86	"Administrator" "[what]"
day0_welcome_ca1c070d		They grabbed my arm with too much strength for someone with their frame and dragged me out the door I just came in.	game/events/plot/prologue/day0.rpy	93	"[what]"
day0_welcome_571440c9	"Administrator"	Most of the students have already arrived and are resting in their rooms. Do try not to make any undue ruckus in the dormitories.	game/events/plot/prologue/day0.rpy	96	"Administrator" "[what]"
day0_welcome_e5c72cbf	"Administrator"	As you should already be aware, tomorrow is the opening ceremony for the new term. That will be the first day of your new life here.	game/events/plot/prologue/day0.rpy	96	"Administrator" "[what]"
day0_welcome_a71b5ff4	"Administrator"	For now here are the keys to your room. There is a strict curfew once classes begin but it would be wise for you to begin practicing it now.	game/events/plot/prologue/day0.rpy	96	"Administrator" "[what]"
day0_welcome_34e98d7d		The dragging didn't stop until we got to the doorstep of my room.	game/events/plot/prologue/day0.rpy	106	"[what]"
day0_welcome_dc12aae4	"Administrator"	Oh, how exciting! We expect great things from you, so be sure to get some rest.	game/events/plot/prologue/day0.rpy	108	"Administrator" "[what]"
day0_welcome_1f57331a		Practically dumping me there, they finally let me go, and briskly walk away without ever letting me get a word in.	game/events/plot/prologue/day0.rpy	112	"[what]"
day0_welcome_4a1d1bf2		Which is well enough. They were right that I was exhausted.	game/events/plot/prologue/day0.rpy	112	"[what]"
day0_welcome_cb0277e5		Entering my new room, I drop my bag to the floor, not bothering to unpack, and let myself drop into the bed.	game/events/plot/prologue/day0.rpy	112	"[what]"
day0_welcome_a0415b91		Between the excitement of everything I saw in town on the ride in and my nerves confronting the reality of actually being a student here, I'm worried that I won't be able to get any rest at all.	game/events/plot/prologue/day0.rpy	112	"[what]"
day0_welcome_14f6ba25		On the other hand, the journey here had been long and it all seemed to be catching up with me now as I let out a yawn.	game/events/plot/prologue/day0.rpy	112	"[what]"
day0_welcome_38cd0d38		What had they said? They "expect great things?"	game/events/plot/prologue/day0.rpy	112	"[what]"
day0_welcome_a398c7a0		I stifle another yawn as my eyelids grow heavy and I let sleep take me.	game/events/plot/prologue/day0.rpy	112	"[what]"
day1_morning_06da2d66		 I wake up the next morning just before sunrise, the still sore from travel. 	game/events/plot/prologue/day1.rpy	8	"[what]"
day1_morning_1b1b0549		I didn't have a chance to appreciate it last night but the bed in my room may be the nicest I've ever been in. I slept like a rock.	game/events/plot/prologue/day1.rpy	14	"[what]"
day1_morning_8b926e65		I stretch and look outside. The sky is still dark but growing red with the coming sun. I can't see any activity from my window and I take a moment to just appreciate the quiet.	game/events/plot/prologue/day1.rpy	14	"[what]"
day1_morning_762ba720		Today will be the opening ceremony but not for at least an hour more, so I decide to tidy up a bit.	game/events/plot/prologue/day1.rpy	22	"[what]"
day1_morning_b769f0c8		After unpacking my two sets of clothes into a wardrobe large enough to make my collection feel inadequate, I turn to set up my personal effects on my desk:	game/events/plot/prologue/day1.rpy	22	"[what]"
day1_morning_bb30e3f8		A worn dagger that used to belong to my father, and a sharpening stone to maintain it.	game/events/plot/prologue/day1.rpy	22	"[what]"
day1_morning_a81383e1		A clear crystal with a streak running through it strung on a cord - a protective charm from a merchant who had visited our home town years ago.	game/events/plot/prologue/day1.rpy	22	"[what]"
day1_morning_060fde29		I don't wear it much anymore but it felt appropriate to bring whatever protection I could muster when leaving home to come here.	game/events/plot/prologue/day1.rpy	22	"[what]"
day1_morning_eeb6faaf		Lastly I pull out a tattered leatherbound notebook. Somewhere between a diary and a sketchbook I use it regularly and it's showing its age. I'll need to pick up some more parchment for it in town.	game/events/plot/prologue/day1.rpy	22	"[what]"
day1_morning_b07f138b		I pull out the last of my traveling rations from my sack and munch on it as I look back outside.	game/events/plot/prologue/day1.rpy	43	"[what]"
day1_morning_dcd1d9be		The sun has stubbornly refused to budge in the sixty seconds it took me to unpack so I decide to explore the dormitory.	game/events/plot/prologue/day1.rpy	43	"[what]"
day1_morning_fb8924f7		I hear signs of life from other rooms as others are starting to wake. I don't feel like I have the courage needed to endure a run-in with my neighbors yet, so I move with haste to a quieter section of the building.	game/events/plot/prologue/day1.rpy	43	"[what]"
day1_morning_638a216d		A door standing ajar catches my attention and I peek through to find not another bedroom but what appears to be a series of raised washbasins mounted to the wall.	game/events/plot/prologue/day1.rpy	43	"[what]"
day1_morning_0d0dfc4f		I approach with curiosity and just as I'm leaning in to get a closer look at the aparatus it springs to life with water running down into the basin, and down a hole in the base.	game/events/plot/prologue/day1.rpy	60	"[what]"
day1_morning_e5a5790b		I can't help but release a yelp in surprise and rush out the room the way I came in.	game/events/plot/prologue/day1.rpy	60	"[what]"
day1_morning_5ef367d4		 I'm crouching in the hall, peaking back into the room, fearing that I've triggered some magical alarm system, when I notice I'm no longer alone. 	game/events/plot/prologue/day1.rpy	70	"[what]"
day1_morning_f359659d	ag.says	Are you ok there? {i}*snicker*{/i}	game/events/plot/prologue/day1.rpy	79	ag.says "[what]"
day1_morning_5adf3c5f		She seems to be trying, not very successfully, to stifle laughter after catching me... well I'm not sure what I've done wrong yet but I'd prefer to not get in trouble for it.	game/events/plot/prologue/day1.rpy	81	"[what]"
day1_morning_c04aee07	mc.says	Ok? Me? I'm great. Why wouldn't I be ok?	game/events/plot/prologue/day1.rpy	88	mc.says "[what]"
day1_morning_3bffaa9d	ag.says	Oh, pardon me, you just seemed a bit alarmed, is all.	game/events/plot/prologue/day1.rpy	90	ag.says "[what]"
day1_morning_cc0d134b	mc.says	Oh, I'm fine, yep. I was just, uh, making sure no one snuck in there.	game/events/plot/prologue/day1.rpy	93	mc.says "[what]"
day1_morning_f492b5d3	ag.says	Snuck in? I imagine anyone who's made it on campus is welcome to use the facilities.	game/events/plot/prologue/day1.rpy	95	ag.says "[what]"
day1_morning_3232c5a6		Her smile fades and she looks a little puzzled before asking,	game/events/plot/prologue/day1.rpy	97	"[what]"
day1_morning_057e6283	ag.says	Have you never used a washroom before?	game/events/plot/prologue/day1.rpy	99	ag.says "[what]"
day1_morning_a4496c81		A washroom? So this room is for washing things, probably powered by some magic?	game/events/plot/prologue/day1.rpy	101	"[what]"
day1_morning_b7c9cecf		Swallowing my pride as it doesn't seem like maintaining a bluff will get me anywhere,	game/events/plot/prologue/day1.rpy	103	"[what]"
day1_morning_4b65a5d2	mc.says	Honestly, no, I've never heard of one before now.	game/events/plot/prologue/day1.rpy	105	mc.says "[what]"
day1_morning_fb6d68a4		A look of shock quickly passes over her face before being replaced by a twinkle of excitement in her eyes.	game/events/plot/prologue/day1.rpy	107	"[what]"
day1_morning_e7d531f3	ag.says	That's surprsing; they're such marvelous conveniences!	game/events/plot/prologue/day1.rpy	109	ag.says "[what]"
day1_morning_dba697bc		She grabs my arm and pulls me back into the room and shows me how getting near the basin causes the device above it to start emitting a fountain of water.	game/events/plot/prologue/day1.rpy	111	"[what]"
day1_morning_6b366e9e	ag.says	The basis is a fairly standard water artifice hidden behind the wall with some clever engineering to funnel the watter the right way without causing a mess. The real genius, however, is how newer installations react to your mana to immediately begin dispensing when you approach.	game/events/plot/prologue/day1.rpy	114	ag.says "[what]"
day1_morning_89d25e74	ag.says	I thought you might have never used an automatic one before, which was alarming the first time I tried one as a child... but to think you've never used a washroom before.	game/events/plot/prologue/day1.rpy	114	ag.says "[what]"
day1_morning_144347a4	ag.says	I know the technology's only a few decades old, but I've grown up with them my whole life so it's such hardship when I have do without while traveling.	game/events/plot/prologue/day1.rpy	114	ag.says "[what]"
day1_morning_87fd7b2c	ag.says	What house are you from that doesn't have washrooms in their estate?	game/events/plot/prologue/day1.rpy	114	ag.says "[what]"
day1_morning_ff4fd54a		What house? My confusion seems to show as she interjects:	game/events/plot/prologue/day1.rpy	127	"[what]"
day1_morning_1dd7fbfb	ag.says	Oh where are my manners? I'm [ag.name()], of house [ag.family_name].	game/events/plot/prologue/day1.rpy	131	ag.says "[what]"
day1_morning_a1fbdb0d		It finally clicks. She's nobility. I have no idea what the etiquette is around introductions but she doesn't look like she'll take any transgression personally.	game/events/plot/prologue/day1.rpy	133	"[what]"
day1_morning_d05b0922	mc.says	I'm [mc.name()] of Karnsley. I'm afraid I don't belong to any of the noble houses.	game/events/plot/prologue/day1.rpy	136	mc.says "[what]"
day1_morning_34c92319	ag.says	Oh, wow. I'm sorry for jumping to conclusions. Are you employed by the academy?	game/events/plot/prologue/day1.rpy	138	ag.says "[what]"
day1_morning_6cc985b5	mc.says	I'm actually a student, or will be once the term start.	game/events/plot/prologue/day1.rpy	140	mc.says "[what]"
day1_morning_f69e6e9b	ag.says	Really? I didn't realize the school admitted commoners. Well I've made a fool of myself.	game/events/plot/prologue/day1.rpy	142	ag.says "[what]"
day1_morning_7d116cb6	mc.says	True, the only way you could look more foolish is if I had caught you panicking over being caught tresspassing by an automatic washbasin,	game/events/plot/prologue/day1.rpy	144	mc.says "[what]"
day1_morning_c0a037d8		I reply with a grin and we both laugh off the awkward circumstances of our meeting.	game/events/plot/prologue/day1.rpy	147	"[what]"
day1_morning_8b1641af		I was apprehensive about how to interact with other students here, but I'm totally disarmed by how friendly [ag.name()] has been.	game/events/plot/prologue/day1.rpy	149	"[what]"
day1_morning_86609ea1	ag.says	Ok, in that case, I {i}have{/i} to show you the toilets. This is going to change your life.	game/events/plot/prologue/day1.rpy	152	ag.says "[what]"
day1_morning_4191c3da		She drags me back into the washroom to show me several other wonders and we spend a while together, her excitedly describing the workings of the artifice mechanisms involved, and me mostly just trying to keep up.	game/events/plot/prologue/day1.rpy	155	"[what]"
day1_morning_c249b611		Apparently the school also has indoor bath houses, though they're in detached buildings due to the complexity of drawing and draining that much water.	game/events/plot/prologue/day1.rpy	155	"[what]"
day1_morning_fa04e1b9		By the time we're through, the sun has fully risen and there's plenty of motion around the door as students prepare for the day.	game/events/plot/prologue/day1.rpy	155	"[what]"
day1_morning_6df66d63	ag.says	Shoot, I need to get ready if I'm going to be in time for the opening ceremony. It was a pleasure meeting you, [mc.name()].	game/events/plot/prologue/day1.rpy	167	ag.says "[what]"
day1_morning_64b1370c		So we part ways and I join the throng of students heading their way to the auditorium.	game/events/plot/prologue/day1.rpy	170	"[what]"
day1_morning_opening_ceremony_45d3434d		I've taken my seat in the auditorium amongst what seem to be over a hundred other students.	game/events/plot/prologue/day1.rpy	180	"[what]"
day1_morning_opening_ceremony_af9c1ee1		A few stragglers are still trickling in but it seems like the ceremony is getting ready to begin.	game/events/plot/prologue/day1.rpy	180	"[what]"
day1_morning_opening_ceremony_dce36e30		An elderly man makes his way onto the central podium on the stage. He's clearly quite frail but somehow manages to exude power at the same time.	game/events/plot/prologue/day1.rpy	189	"[what]"
day1_morning_opening_ceremony_f6d19a16		All the chatter dies down.	game/events/plot/prologue/day1.rpy	189	"[what]"
day1_morning_opening_ceremony_cf3ad408	hm.says	{size=72}{cps=20}POTENTIA UTENDEM EST!{/cps}{/size}	game/events/plot/prologue/day1.rpy	195	hm.says "[what]"
day1_morning_opening_ceremony_60b8e093		The old man roars, far louder than should be possible, and no hint of frailty remains in his frame.	game/events/plot/prologue/day1.rpy	197	"[what]"
day1_morning_opening_ceremony_99f61d60	hm.says	These are the words of our institution. These are the words we will instill in you. And if you expect to survive here, these are the words you must live by.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_20c00bcb	hm.says	First, you must know who we are.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_c275fc6f	hm.says	We are not spiritual theoreticians like you will find in the institutions of the east.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_564c499a	hm.says	We are not diviners and supplicants to the spirits as you will find in the temples to the south.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_8088c8c3	hm.says	Who are we? We are the Magi. The practitioners of magic. We do not fear our own power for we understand how to use it. How to bend and reshape the world into a better one.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_5501d2db	hm.says	Starting from this day, you too will be magi.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_94dd0d65	hm.says	Oh, aspirants of the spiritual arts, stray souls seeking to drink from the font of knowledge, be welcome here. But know that this knowledge you seek comes at a price.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_292fbb41	hm.says	You will work and you will grow, for we will work you and we will grow you. We will mold you into the magi of tomorrow and you will be greater than anything that has come before.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_c1fd9e6a	hm.says	But as you grow in power so too will you grow in your duty to put that power to use. There is no greater sin than the inaction of the powerful.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_889afd2e	hm.says	And once your time is done here you will take what we teach you back to your homes, to your lands, to the far corners of the world and you will put it to use.	game/events/plot/prologue/day1.rpy	199	hm.says "[what]"
day1_morning_opening_ceremony_af703c11		And then there is a long pause. The old man appears to almost shrink he no longer imposes the same aura as before, but everone is still a bit shaken by that performance.	game/events/plot/prologue/day1.rpy	228	"[what]"
day1_morning_opening_ceremony_7ebf5ec4	hm.says	And with that let's call the ceremony bit of this pageant done eh? Hoh oh oh oh oh.	game/events/plot/prologue/day1.rpy	231	hm.says "[what]"
day1_morning_opening_ceremony_2bc87914	hm.says	In case you haven't gathered it yet, I am the Headmaster at the Qyburn Institute of Magic.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_6f46e0bc	hm.says	Now for a few logistical matters. You are all the 238th class at this hallowed institution. Or rather you will be.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_42053f67	hm.says	While you're all gathered here to study at the academy, ultimately, not all of you will be joining as students.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_2bf6ef9a	hm.says	How do I mean? Well as of today you are all prospects. For one week our esteemed faculty will be conducting lessons in the fundamentals we expect all our students to master.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_f06f1cd8	hm.says	Some of you may have arrived with prior study such that you already feel you have no need for such lessons. I caution that you act on your hubris at your own peril.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_46b8a151	hm.says	At the end of the this week we will be holding a qualifying exam, and as is fitting our words, there will be a practical component that will demand you to apply what you learn.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_2f0dd790	hm.says	If you pass this qualifying exam, or "Quals" as your peers have taken to calling it, you will be inducted as full students of the academy.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_085fedf3	hm.says	If we find you lack the aptitude necessary to succeed here, we will ask you to leave.	game/events/plot/prologue/day1.rpy	235	hm.says "[what]"
day1_morning_opening_ceremony_867acbc3		My heart sinks into my stomach. There's a exam in one week? I don't know the first thing about magic and it seems like more than half the students here have had some private instruction before coming here.	game/events/plot/prologue/day1.rpy	259	"[what]"
day1_morning_opening_ceremony_de1dfeae	hm.says	Oh, and one last thing.	game/events/plot/prologue/day1.rpy	263	hm.says "[what]"
day1_morning_opening_ceremony_8dd07552	hm.says	I want to take this moment to call attention to a program we run at this institute. In keeping with our words, every year we partner with the esteemed guilds in the city to admit a handful of guild-sponsored students.	game/events/plot/prologue/day1.rpy	263	hm.says "[what]"
day1_morning_opening_ceremony_bc3e1562	hm.says	These students will be expected to immeidately put into practice what they learn here at the academy by reporting to their guild patrons for duties. They will of course have to balance this against their other coursework.	game/events/plot/prologue/day1.rpy	263	hm.says "[what]"
day1_morning_opening_ceremony_ec4fbefd	hm.says	Each year we tend to have either one or two such students, but this year we have an unprecedented five. I for one look forward to such promising talent joining us for the schoolyear.	game/events/plot/prologue/day1.rpy	263	hm.says "[what]"
day1_morning_opening_ceremony_fd9fa620	hm.says	And that's it! Enjoy the rest of your day off as classes begin tomorrow.	game/events/plot/prologue/day1.rpy	263	hm.says "[what]"
day1_morning_opening_ceremony_bc7429b6		I join the crowd emptying out of the building, trying to process what I've signed up for.	game/events/plot/prologue/day1.rpy	282	"[what]"
day1_morning_opening_ceremony_65ee2b2a		I'm one of those students sponsored by a guild that the headmaster mentioned at the end of his address. That part doesn't surprise me, I knew roughly what the deal was.	game/events/plot/prologue/day1.rpy	282	"[what]"
day1_morning_opening_ceremony_13c0eacf		I've always been interested in magic and the spirits, I feel like I can see them from time to time, like after a rainfall or being carried by a particularly powerful squall.	game/events/plot/prologue/day1.rpy	282	"[what]"
day1_morning_opening_ceremony_fa9e6e30		But I've never had any particular talent for it. I've never managed to cast any spells, I wouldn't know where to begin.	game/events/plot/prologue/day1.rpy	282	"[what]"
day1_morning_opening_ceremony_90c4e92c		The only reason I'm here is that a friend of my mother had apparently made arrangements for me to attend this school through the Adventurer's guild.	game/events/plot/prologue/day1.rpy	282	"[what]"
day1_morning_opening_ceremony_9ac49e63		I knew it was prestigious but I figured I had already been admitted so the hard part was over.	game/events/plot/prologue/day1.rpy	282	"[what]"
day1_morning_opening_ceremony_84bdacbc		I make it as far as the stairs in front of the building, lost my my self-pity, before a staff member stops me to hand me a note. Apparently I'm to report to the Adventurer's guild today for orientation.	game/events/plot/prologue/day1.rpy	300	"[what]"
day1_afternoon_adventurers_guild_intro_de8abbca		It doesn't take me too long to find the guild. Most of the guild halls in town seem to be situated on the same street and this one is pretty prominent.	game/events/plot/prologue/day1.rpy	314	"[what]"
day1_afternoon_adventurers_guild_intro_5f724ccf	gr.says	Welcome to the Adventurer's guild! Have you come to petition the guild with a request?	game/events/plot/prologue/day1.rpy	319	gr.says "[what]"
day1_afternoon_adventurers_guild_intro_6ecb0c3a	mc.says	Hi. No I don't think so, I'm a student up at the academy and was told to report here.	game/events/plot/prologue/day1.rpy	321	mc.says "[what]"
day1_afternoon_adventurers_guild_intro_7fb3e78b	gr.says	A student? I'm afraid I don't know —	game/events/plot/prologue/day1.rpy	323	gr.says "[what]"
day1_afternoon_adventurers_guild_intro_2adafde6	gr.says	Oh, that's right! Let me go fetch the guildmaster.	game/events/plot/prologue/day1.rpy	325	gr.says "[what]"
day1_afternoon_adventurers_guild_intro_be8c893a		The receptionist leaves and I take a look around. It's early afternoon and the hall is mostly empty. I guess people don't linger for too long after they've finished their business here.	game/events/plot/prologue/day1.rpy	327	"[what]"
day1_afternoon_adventurers_guild_intro_8085ab98		The Adventurer's guild is a pretty well regarded institution, we even had a small branch back home.	game/events/plot/prologue/day1.rpy	327	"[what]"
day1_afternoon_adventurers_guild_intro_c57c3b0d		I've thought more than a few times about joining up with them as it always felt like a easy solution to the otherwise directionless life I've lead. But my mom wouldn't hear it.	game/events/plot/prologue/day1.rpy	327	"[what]"
day1_afternoon_adventurers_guild_intro_c38182a0		Come to think of it I'm surprised she was convinced to let me come to this school on a guild sponsorship.	game/events/plot/prologue/day1.rpy	327	"[what]"
day1_afternoon_adventurers_guild_intro_037d4bea	gm.says	Ah here you are. Damien's kid, right? I knew your father back in the day.	game/events/plot/prologue/day1.rpy	344	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_58cd2813		I'm shocked to hear this. My dad died when I was pretty young and I honeslty don't know much about him.	game/events/plot/prologue/day1.rpy	346	"[what]"
day1_afternoon_adventurers_guild_intro_edcfd977		I remember him telling me stories of his adventures before bed that would fill my sleep with dreams of gallantry and heroism.	game/events/plot/prologue/day1.rpy	346	"[what]"
day1_afternoon_adventurers_guild_intro_50f2ddab		But after he died, no one would ever tell me how it happened. My mother wouldn't tolerate talk of him. All I know is that he had been on a particularly dangerous contract for the guild and didn't make it.	game/events/plot/prologue/day1.rpy	346	"[what]"
day1_afternoon_adventurers_guild_intro_75767171	gm.says	You probably already have a decent idea of how the guild works but your situation is a bit special so let's just start from the beginning and clear up any misconceptions you might be carrying.	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_c730a69e	gm.says	First of all you are a student - not an adventurer. The guild isn't in the business of hiring minors and during your time acting on behalf of the guild you must understand that you do not have the rank and privileges of a full member of the guild.	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_7bea135e	gm.says	That being said, your position is not without its perks.	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_a47a866f	gm.says	You are from this day forward, provisional members of the Adventurer's Guild, and will be granted a provisional license.	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_53a4a83f	gm.says	This process isn't all too dissimilar to what any prospective adventurer might go through if they walked into our halls and applied for membership. The difference is that your path from here to full membership is much more clearly prescribed:	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_56150624	gm.says	During your time in our care you'll perform contracts on behalf of the guild. Once you graduate, should you still be in good standing with us, you'll not only be inducted as a full fledged member of the Adventurer's guild, but you'll begin your career as a {b}class C{/b} adventurer.	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_b2a13f1d	gm.says	This is a significant merit - most adventurers don't make it to class C without at least 10 years of experience under their belt, and very few ever find themselves promoted past this classification.	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_8f3f6aee	gm.says	As a sponsored graduate from Qyburn you will find yourself quickly advancing through the guild ranks.	game/events/plot/prologue/day1.rpy	358	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_b87b8629		She pauses to take a breath and steps over to grab a drink from a small bar tucked around the corner from the reception that I hadn't noticed until now.	game/events/plot/prologue/day1.rpy	388	"[what]"
day1_afternoon_adventurers_guild_intro_c3c55844	gm.says	Damn, you're making me talk today. Don't worry, we're almost through.	game/events/plot/prologue/day1.rpy	391	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_b5f2bafb	gm.says	So where was I? Right, so all of that is contingent on your fullfillment of duties to the guild and remaining in good academic standing back at the adademy.	game/events/plot/prologue/day1.rpy	391	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_5ced55d6	gm.says	A kid like you from a Podunk-backwater like Karnsley couldn't fathom the sums of money the guild is fronting to sponsor your tution up there.	game/events/plot/prologue/day1.rpy	391	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_193af61d	gm.says	Part of that is paid for from the revenue you'll earn doing contracts, but you can't hope to earn enough to pay back that debt in full - and we don't expect you to.	game/events/plot/prologue/day1.rpy	391	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_c761543f	gm.says	Instead the guild is making an investment in you as a promising young candidate for a future master adventurer. If we find you're not living up to that promise, we'll have no choice but to divest our investment in you.	game/events/plot/prologue/day1.rpy	391	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_143b3125		She pauses to take another long drink and I can't make out what's in that dark red-brown liquid she has in her mug.	game/events/plot/prologue/day1.rpy	408	"[what]"
day1_afternoon_adventurers_guild_intro_b14c8e30	gm.says	Great. So having said all that, put it out of mind for now.	game/events/plot/prologue/day1.rpy	413	gm.says "[what]"
day1_afternoon_adventurers_guild_intro_0c136002	gm.says	There will be plenty of time for that once you're a full student at the academy, but you're no use to us if you don't pass your Quals.	game/events/plot/prologue/day1.rpy	413	gm.says "[what]"
